
> refinery-digital-twin@0.0.0 build:models
> node scripts/python.mjs -m scripts.build_models

01:09.187  reports          | WARNING Path 'D:\blender\5.2\datafiles\assets\brushes\essentials_brushes-gp_draw.blend' cannot be made relative for Material 'Dots Stroke'
07:26:00 | INFO: Extracting primitive: conn_015_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_015_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_015_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_015_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_015_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_016_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_016_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_016_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_016_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_016_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_017_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_017_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_017_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_017_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_017_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_018_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_018_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_018_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_018_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_018_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_019_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_019_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_019_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_019_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_019_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_020_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_020_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_020_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_020_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_020_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_021_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_021_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_021_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_021_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_021_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_022_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_022_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_022_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_022_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_022_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:01 | INFO: Finished glTF 2.0 export in 0.9342019557952881 s

{"assets": 57, "detail": 1, "mesh_objects": 167, "triangles": 253844}

Blender quit
